link_id,Node1           ,Node2           
 PIPE_31018      ,A1              ,A836            
 PIPE_30080      ,A2              ,A2044           
 PIPE_30152      ,A5              ,A6              
 PIPE_29968      ,A7              ,A8              
 PIPE_29971      ,A1509           ,A7              
 PIPE_30473      ,A838            ,A9              
 PIPE_30151      ,A6              ,A10             
 PIPE_19582      ,A1511           ,A12             
 PIPE_23082      ,A846            ,AD11099-01-01   
 PIPE_24880      ,A14             ,A104            
 PIPE_24835      ,A2129           ,A15             
 PIPE_20998      ,A16             ,AD10410-01-01   
 PIPE_21424      ,A17             ,A2707           
 PIPE_20931      ,A2123           ,A18             
 PIPE_26029      ,A19             ,A20             
 PIPE_19908      ,A21             ,A22             
 PIPE_21915      ,A23             ,A1527           
 PIPE_25201      ,A24             ,AD10163         
 PIPE_29526      ,A267            ,A25             
 PIPE_25325      ,A26             ,AD10858-01-01   
 PIPE_24695      ,A27             ,AD10196-01-01   
 PIPE_18341      ,A2138           ,A28             
 PIPE_20711      ,A29             ,A30             
 PIPE_26499      ,A31             ,A2496           
 PIPE_15260      ,A32             ,A33             
 PIPE_23787      ,A3258           ,AD10082-05-01   
 PIPE_17832      ,A2639           ,A34             
 PIPE_19294      ,A34             ,A2946           
 PIPE_31917      ,A2639           ,A35             
 PIPE_31921      ,A3041           ,A873            
 PIPE_26568      ,A955            ,A36             
 PIPE_18238      ,A37             ,AD10018-03-01   
 PIPE_19280      ,A1541           ,AD10306-01-01   
 PIPE_21282      ,A2259           ,AD10035-01-01   
 PIPE_23595      ,A38             ,AD10124-02-01   
 PIPE_27096      ,A39             ,A40             
 PIPE_20273      ,A41             ,AD10090-02-01   
 PIPE_23836      ,A39             ,A46             
 PIPE_21193      ,A42             ,A43             
 PIPE_22035      ,A44             ,A2221           
 PIPE_19913      ,A1751           ,AD10059-01-01   
 PIPE_21263      ,A46             ,A47             
 PIPE_22272      ,A48             ,A49             
 PIPE_20402      ,A2408           ,AD10065-02-01   
 PIPE_17721      ,A44             ,A42             
 PIPE_20381      ,A51             ,A52             
 PIPE_28948      ,A53             ,A54             
 PIPE_29008      ,A55             ,AD11526         
 PIPE_20969      ,A1554           ,A803            
 PIPE_28935      ,A57             ,A58             
 PIPE_25559      ,A106            ,AD11294-01-01   
 PIPE_23748      ,A60             ,A61             
 PIPE_21233      ,A62             ,A63             
 PIPE_22991      ,A512            ,AD10121-02-01   
 PIPE_20015      ,A64             ,A62             
 PIPE_24122      ,A65             ,AD10072         
 PIPE_15618      ,A634            ,AD10084-04-01   
 PIPE_27002      ,A67             ,AD10074-03-01   
 PIPE_29573      ,A681            ,A68             
 PIPE_25094      ,A69             ,AD10289-01-01   
 PIPE_30305      ,A70             ,A3368           
 PIPE_21301      ,A71             ,AD10290         
 PIPE_24431      ,A73             ,AD10288-01-01   
 PIPE_30300      ,A70             ,A74             
 PIPE_26281      ,A75             ,A76             
 PIPE_21299      ,A77             ,A78             
 PIPE_22531      ,A79             ,A80             
 PIPE_24463      ,A81             ,A82             
